Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,2908.7925954254843,2908.7925954254843,2908.7925954254843,2908.7925954254843,2908.7925954254843,2023-10-25,0,0,0,0,0,0
,2856.6920731088903,2856.6920731088903,2856.6920731088903,2856.6920731088903,2856.6920731088903,2023-10-26,0,0,0,0,0,0
,2816.0436642510904,2816.0436642510904,2816.0436642510904,2816.0436642510904,2816.0436642510904,2023-10-27,0,0,0,0,0,0
,2850.007305377096,2850.007305377096,2850.007305377096,2850.007305377096,2850.007305377096,2023-10-30,0,0,0,0,0,0
,2880.235707371812,2880.235707371812,2880.235707371812,2880.235707371812,2880.235707371812,2023-10-31,0,0,0,0,0,0
,2897.438624551836,2897.438624551836,2897.438624551836,2897.438624551836,2897.438624551836,2023-11-01,0,0,0,0,0,0
,2885.1998199043587,2885.1998199043587,2885.1998199043587,2885.1998199043587,2885.1998199043587,2023-11-02,0,0,0,0,0,0
,2884.2167680267817,2884.2167680267817,2884.2167680267817,2884.2167680267817,2884.2167680267817,2023-11-03,0,0,0,0,0,0
,2883.233946858254,2883.233946858254,2883.233946858254,2883.233946858254,2883.233946858254,2023-11-06,0,0,0,0,0,0
,2919.6060442797034,2919.6060442797034,2919.6060442797034,2919.6060442797034,2919.6060442797034,2023-11-07,0,0,0,0,0,0
,2924.226224553206,2924.226224553206,2924.226224553206,2924.226224553206,2924.226224553206,2023-11-08,0,0,0,0,0,0
,2952.0460385675747,2952.0460385675747,2952.0460385675747,2952.0460385675747,2952.0460385675747,2023-11-09,0,0,0,0,0,0
,2969.790011978774,2969.790011978774,2969.790011978774,2969.790011978774,2969.790011978774,2023-11-10,0,0,0,0,0,0
,2998.248718471943,2998.248718471943,2998.248718471943,2998.248718471943,2998.248718471943,2023-11-13,0,0,0,0,0,0
,3010.389328150513,3010.389328150513,3010.389328150513,3010.389328150513,3010.389328150513,2023-11-15,0,0,0,0,0,0
,3006.0638185745934,3006.0638185745934,3006.0638185745934,3006.0638185745934,3006.0638185745934,2023-11-16,0,0,0,0,0,0
