Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,452.3863220214844,452.3863220214844,452.3863220214844,452.3863220214844,452.3863220214844,2025-05-15,0,0,0,0,0,0
,453.5244445800781,453.5244445800781,453.5244445800781,453.5244445800781,453.5244445800781,2025-05-16,0,0,0,0,0,0
,458.1168823242188,458.1168823242188,458.1168823242188,458.1168823242188,458.1168823242188,2025-05-19,0,0,0,0,0,0
,457.4180603027344,457.4180603027344,457.4180603027344,457.4180603027344,457.4180603027344,2025-05-20,0,0,0,0,0,0
,451.8272399902344,451.8272399902344,451.8272399902344,451.8272399902344,451.8272399902344,2025-05-21,0,0,0,0,0,0
,454.1134643554688,454.1134643554688,454.1134643554688,454.1134643554688,454.1134643554688,2025-05-22,0,0,0,0,0,0
,449.441162109375,449.441162109375,449.441162109375,449.441162109375,449.441162109375,2025-05-23,0,0,0,0,0,0
,459.9338989257813,459.9338989257813,459.9338989257813,459.9338989257813,459.9338989257813,2025-05-27,0,0,0,0,0,0
,456.609375,456.609375,456.609375,456.609375,456.609375,2025-05-28,0,0,0,0,0,0
,457.9272155761719,457.9272155761719,457.9272155761719,457.9272155761719,457.9272155761719,2025-05-29,0,0,0,0,0,0
,459.60443115234375,459.60443115234375,459.60443115234375,459.60443115234375,459.60443115234375,2025-05-30,0,0,0,0,0,0
,461.2118225097656,461.2118225097656,461.2118225097656,461.2118225097656,461.2118225097656,2025-06-02,0,0,0,0,0,0
,462.2101745605469,462.2101745605469,462.2101745605469,462.2101745605469,462.2101745605469,2025-06-03,0,0,0,0,0,0
,463.1086730957031,463.1086730957031,463.1086730957031,463.1086730957031,463.1086730957031,2025-06-04,0,0,0,0,0,0
,466.9124145507813,466.9124145507813,466.9124145507813,466.9124145507813,466.9124145507813,2025-06-05,0,0,0,0,0,0
,469.6080017089844,469.6080017089844,469.6080017089844,469.6080017089844,469.6080017089844,2025-06-06,0,0,0,0,0,0
,471.97412109375,471.97412109375,471.97412109375,471.97412109375,471.97412109375,2025-06-09,0,0,0,0,0,0
